,"Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$"
"Country","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","186.41","228.18","208.63","191.25","181.82","161.90","143.35","136.97","137.52","141.78","125.53","102.59","108.89","96.40","85.64","78.93","77.79","",""
"Albania","697.30","645.47","581.35","569.07","618.11","567.61","529.63","485.58","451.50","399.47","415.07","449.94","385.13","362.53","358.08","343.92","314.32","300.27","275.72"
"Algeria","962.72","970.27","993.58","1026.63","937.98","834.37","809.02","687.22","647.59","658.90","513.40","454.63","381.80","356.58","362.73","348.66","335.02","325.46","284.82"
"Andorra","3607.00","3319.41","3065.62","3096.17","2888.26","2755.26","2681.19","2565.23","2770.77","2725.12","2630.66","2394.91","2325.58","2435.21","2154.36","2141.03","2195.73","1993.25","1921.07"
"Angola","164.71","185.65","183.33","184.92","175.24","190.76","162.25","167.90","167.91","234.12","206.73","169.46","135.59","129.92","157.84","128.25","118.67","175.00","72.30"
"Antigua and Barbuda","1405.77","1274.50","1212.44","1183.78","1268.35","1138.01","1132.76","1081.91","1082.89","915.74","1053.97","1112.29","1048.77","988.20","935.61","952.87","845.58","859.09","775.69"
"Argentina","1989.64","2184.92","1815.53","2105.08","1936.52","1992.28","1941.26","1863.78","1745.17","1584.20","1460.62","1331.46","1171.64","1059.16","905.59","871.66","852.26","1077.80","1095.20"
"Armenia","1036.95","996.98","876.63","883.00","855.49","826.19","698.71","658.17","606.37","534.21","482.35","363.38","328.14","279.76","244.53","254.12","230.78","121.80","97.65"
"Australia","5004.87","4725.45","4612.81","4388.91","4283.14","4161.62","3778.47","3760.76","3587.33","3553.90","3297.28","3181.02","3012.49","2841.89","2752.94","2561.38","2438.22","2277.92","2155.09"
"Austria","5879.10","5674.06","5476.12","5206.02","5082.54","4945.45","4750.58","4465.66","4302.71","4192.42","4024.80","3760.33","3591.53","3381.66","3288.09","3073.54","2935.82","2761.79","2707.87"
"Azerbaijan","633.56","655.42","704.62","740.13","603.29","524.55","481.72","386.54","396.47","397.35","270.55","249.10","202.97","162.01","146.26","135.18","121.56","111.34","107.04"
"Bahamas","2005.25","2128.26","1733.27","1598.92","1729.07","1676.99","1630.55","1570.76","1529.70","1481.42","1473.51","1393.65","1306.84","1179.68","1131.16","1104.76","1060.33","1063.63","998.27"
"Bahrain","1955.35","2263.04","2293.84","2333.84","2041.80","1907.56","1714.59","1436.78","1527.17","1599.35","1332.59","1331.33","1199.63","1222.31","1301.07","1449.34","1370.41","1344.87","1273.78"
"Bangladesh","109.64","97.29","91.45","91.10","86.08","80.52","78.18","73.19","66.14","59.82","55.54","53.45","47.79","43.12","38.65","35.64","33.50","29.57","28.58"
"Barbados","1203.79","1204.42","1196.60","1175.32","1179.97","1244.74","1289.76","1126.06","1095.03","1171.84","1112.12","1015.28","1059.88","985.13","997.01","877.70","742.05","685.54","665.49"
"Belarus","1132.47","1095.05","1076.04","1121.33","1025.63","1046.93","938.77","841.93","885.43","792.07","794.85","758.67","663.62","634.74","528.75","461.66","409.87","387.33","332.96"
"Belgium","5404.92","5289.40","5006.81","4834.51","4702.53","4621.22","4455.88","4269.35","4100.81","3928.76","3663.81","3382.28","3237.82","3082.64","3007.66","2850.67","2524.58","2352.50","2226.01"
"Belize","506.32","482.94","506.74","498.00","508.34","447.27","431.94","439.98","428.73","421.29","418.85","382.15","325.78","304.69","295.73","290.91","273.65","259.64","213.28"
"Benin","83.21","82.49","83.12","84.72","77.08","78.38","88.27","76.98","72.92","68.38","65.11","67.22","65.26","61.97","63.79","60.51","59.32","61.42","56.16"
"Bhutan","322.10","314.59","316.98","311.71","271.78","275.25","254.43","220.28","213.83","195.64","176.18","194.78","179.45","154.24","159.87","133.62","135.14","134.72","113.60"
"Bolivia (Plurinational State of)","496.09","485.47","488.44","450.85","388.75","347.37","306.05","285.80","271.98","261.07","226.93","217.45","204.45","209.79","190.10","193.39","177.40","171.11","152.88"
"Bosnia and Herzegovina","1300.78","1226.75","1183.37","1121.93","1081.14","1043.74","976.74","914.95","842.42","814.13","856.49","757.86","657.95","571.52","538.68","437.11","369.36","347.83","351.08"
"Botswana","1088.73","1091.05","962.80","957.69","956.80","1015.20","894.07","799.44","803.01","783.47","760.85","661.81","544.27","523.71","570.83","587.13","582.83","527.90","497.01"
"Brazil","1530.82","1482.53","1411.13","1402.71","1373.52","1285.15","1199.65","1173.05","1137.78","1115.54","1068.08","1030.82","961.84","884.29","849.91","798.26","833.33","792.91","756.28"
"Brunei Darussalam","1952.53","1811.44","1991.10","1913.91","1546.49","1561.62","1549.67","1537.93","1797.73","2040.74","1635.44","1713.05","1657.09","1829.93","2051.38","2062.41","1952.14","1895.75","1843.74"
"Bulgaria","1633.80","1575.11","1468.17","1355.20","1349.41","1185.88","1227.33","1115.26","1057.45","932.71","898.34","785.62","740.90","706.36","631.18","603.00","549.14","469.34","373.49"
"Burkina Faso","111.72","129.01","124.58","99.32","94.06","101.40","80.29","77.02","82.16","77.04","70.01","74.29","60.87","50.14","49.20","35.19","31.19","29.66","28.39"
"Burundi","65.79","59.40","59.10","48.66","60.66","67.35","65.01","74.44","81.05","72.02","63.70","70.56","64.50","51.98","47.16","37.07","38.93","37.30","35.29"
"Cabo Verde","399.54","375.53","325.06","309.09","338.97","332.52","318.66","262.73","260.56","222.85","209.29","227.79","233.36","203.30","188.87","172.38","174.20","165.41","150.28"
"Cambodia","261.16","238.10","228.94","217.66","221.19","218.32","207.68","199.45","170.77","177.49","155.52","107.78","120.64","120.23","108.25","95.12","91.15","83.12","71.60"
"Cameroon","133.61","127.30","132.27","129.06","130.83","119.37","123.07","117.06","105.91","103.51","105.65","106.59","103.49","101.42","97.12","96.72","93.86","86.83","87.67"
"Canada","5199.97","5023.35","4908.84","4729.49","4659.98","4552.96","4384.11","4273.03","4256.98","4140.43","3855.41","3717.99","3554.80","3290.42","3086.69","2928.48","2758.30","2617.79","2429.59"
"Central African Republic","97.01","54.74","42.51","37.49","34.90","33.11","39.31","36.96","35.14","43.49","35.18","39.99","35.95","33.43","31.77","30.35","30.17","26.95","27.72"
"Chad","79.01","85.68","99.78","99.15","93.52","84.35","76.88","72.54","76.33","75.26","67.70","71.31","77.85","77.40","85.01","64.43","75.61","51.93","48.73"
"Chile","2305.68","2193.38","1949.35","1883.72","1779.02","1670.56","1510.04","1377.56","1230.44","1164.98","1112.30","1046.22","950.78","839.84","815.21","795.03","750.80","713.15","672.11"
"China","935.19","837.77","759.19","701.94","631.45","571.62","505.14","435.69","381.29","354.44","289.57","246.74","227.05","208.25","186.58","170.95","152.06","133.81","128.89"
"Colombia","1155.41","1114.10","1073.83","1053.74","978.57","905.24","825.58","791.14","760.16","750.89","698.43","637.13","574.02","506.34","442.34","410.96","382.18","383.47","352.99"
"Comoros","134.21","131.13","129.75","129.10","121.62","120.90","118.28","134.02","121.08","117.57","119.15","120.67","122.47","123.54","121.03","123.05","128.19","123.81","134.37"
"Congo","125.36","169.05","174.00","207.90","149.82","140.39","136.34","101.68","105.63","105.67","102.16","89.11","81.85","81.36","84.82","82.65","73.45","90.07","62.29"
"Cook Islands","751.69","667.06","662.99","491.85","562.95","603.64","514.41","540.70","558.30","527.68","527.76","600.41","516.14","560.94","480.85","427.76","460.36","425.29","369.42"
"Costa Rica","1336.53","1244.15","1226.34","1221.22","1187.57","1136.65","1111.21","1093.24","1025.91","953.51","919.83","817.68","739.47","651.91","614.04","611.25","576.12","525.79","513.43"
"Côte d'Ivoire","176.28","174.64","166.28","152.31","165.61","152.64","168.17","153.40","159.81","160.42","161.27","157.21","140.67","126.25","119.83","103.70","102.03","113.90","133.19"
"Croatia","1876.10","1773.44","1667.59","1553.76","1475.16","1420.11","1644.48","1612.72","1598.64","1633.33","1604.33","1443.34","1215.82","1056.77","954.58","860.98","784.14","836.53","811.18"
"Cuba","2519.29","2517.68","2493.63","3180.36","2706.49","2228.88","1888.16","2170.58","2041.55","2192.34","1974.98","1842.79","1291.40","1069.46","748.35","756.97","711.30","639.14","547.91"
"Cyprus","2624.85","2498.47","2358.56","2198.69","2077.87","2100.02","2091.35","2176.96","2205.68","2221.74","2122.59","1781.30","1653.52","1520.42","1411.05","1375.60","1330.51","1228.20","1135.92"
"Czechia","3040.52","2753.38","2521.82","2441.99","2472.18","2379.51","2042.60","2010.96","1919.07","2016.30","1777.91","1578.52","1475.29","1402.74","1328.35","1273.44","1127.06","1031.99","923.64"
"Democratic Republic of the Congo","30.72","36.94","37.93","34.65","33.00","27.40","23.76","21.96","24.24","27.43","30.09","24.88","23.88","21.98","21.57","17.48","11.52","11.58","6.62"
"Denmark","5794.26","5589.41","5291.38","5038.36","4886.55","4762.36","4597.62","4516.30","4456.95","4318.35","3938.91","3643.18","3425.17","3109.05","2968.02","2744.73","2670.24","2492.48","2327.62"
"Djibouti","134.89","134.43","141.19","149.83","135.03","124.08","133.53","130.03","109.36","110.61","108.75","109.36","104.88","91.18","89.75","103.32","90.20","68.57","70.50"
"Dominica","710.24","583.67","578.31","563.03","581.81","555.84","598.47","546.87","519.10","493.00","501.59","436.14","398.97","385.64","355.25","344.40","306.51","310.79","348.52"
"Dominican Republic","1017.50","954.53","904.42","842.00","783.47","728.29","705.03","656.05","621.15","523.11","483.68","414.56","361.40","354.97","314.04","309.46","354.92","332.16","322.16"
"Ecuador","954.76","949.69","930.98","981.83","990.08","944.02","888.94","777.37","649.12","569.31","515.85","487.76","458.34","425.02","396.11","354.27","283.01","228.38","194.09"
"Egypt","614.11","661.44","605.82","583.76","532.73","508.48","479.17","457.35","428.59","433.31","426.94","395.93","399.14","375.21","349.96","358.63","366.66","352.02","309.08"
"El Salvador","592.34","576.24","593.15","568.72","555.84","541.42","510.69","528.79","506.73","502.32","466.67","446.64","444.87","442.63","422.93","405.82","411.85","403.63","398.58"
"Equatorial Guinea","696.58","738.49","824.87","862.72","735.57","641.12","462.17","537.88","605.51","697.56","709.55","531.72","454.70","421.88","572.98","532.19","434.92","351.77","206.44"
"Eritrea","73.70","59.69","61.58","72.27","82.62","77.04","64.57","86.84","64.64","64.23","68.91","70.56","90.39","91.53","91.87","96.51","93.03","82.19","74.66"
"Estonia","2427.63","2230.44","2009.14","1866.39","1769.96","1649.73","1513.64","1426.67","1365.06","1340.15","1302.36","1102.97","917.69","838.37","741.41","635.64","546.91","491.66","485.08"
"Eswatini","695.70","708.29","674.52","690.07","694.17","698.93","698.41","709.00","693.61","668.39","674.94","591.99","548.19","475.73","403.78","356.38","292.71","258.23","226.12"
"Ethiopia","66.64","65.53","62.87","62.00","60.27","55.74","56.76","51.91","57.55","44.15","38.14","40.56","32.47","26.91","25.25","25.28","25.10","25.11","21.57"
"Fiji","372.46","329.19","317.17","311.60","299.21","286.46","274.43","256.04","266.58","266.82","244.18","257.05","250.00","233.50","225.96","191.12","186.61","173.65","197.04"
"Finland","4457.17","4339.91","4211.66","4098.92","4084.43","4068.54","3917.43","3772.54","3562.18","3479.86","3340.42","3050.32","2844.80","2649.96","2505.60","2297.40","2176.57","2011.47","1896.12"
"France","5250.45","5110.13","4942.76","4691.53","4659.24","4547.43","4287.73","4217.54","4061.25","3942.99","3710.46","3541.95","3391.30","3135.56","2970.66","2854.97","2876.46","2685.77","2516.77"
"Gabon","490.84","493.93","554.41","473.54","444.47","486.25","400.35","409.52","376.05","561.36","415.36","490.04","455.22","437.69","488.25","514.18","476.30","455.66","438.78"
"Gambia","80.81","82.34","75.91","75.48","86.15","93.51","99.52","98.24","101.69","105.96","106.44","107.76","114.88","114.79","118.14","188.69","187.07","167.77","167.20"
"Georgia","795.90","734.58","778.03","692.76","706.62","660.33","637.00","582.62","598.94","601.02","543.38","455.57","402.30","375.85","331.86","302.29","258.85","219.67","202.75"
"Germany","6098.20","5930.58","5573.72","5355.32","5192.51","4953.16","4708.95","4587.43","4320.84","4133.01","3870.05","3641.60","3471.19","3277.20","3175.64","3107.50","2973.18","2818.56","2691.44"
"Ghana","167.98","148.42","143.16","186.92","164.27","180.74","206.73","216.71","186.08","175.41","152.78","138.97","133.37","203.06","148.26","137.50","131.01","142.45","122.00"
"Greece","2340.17","2273.59","2238.93","2149.34","2100.17","2163.44","2214.81","2356.14","2679.00","2859.60","2728.05","2462.74","2358.68","2194.11","2061.65","2019.10","1864.50","1678.58","1417.78"
"Grenada","693.82","673.00","614.70","617.15","593.06","643.43","643.73","640.68","584.71","584.90","618.07","585.52","525.73","536.41","480.41","465.26","489.32","425.63","406.68"
